,Gene,IEI_Interactor
4066,COG4,"CCDC40, CCDC40, CD40, COG6, COG6, COG6, FPR1, KRAS, KRT8, UNC93B1"
4067,FAM83D,"CCDC40, CCDC40, DNAI2, KRAS, MAP2K2, RFXANK, RNF31, TP53"
4068,STIM1,"CCDC40, CCDC40, CDC42, IFNGR1, KRAS, KRAS, NRAS, RAC1, RAC2, RHOG, RHOH"
4069,TMTC4,"CCDC40, CCDC40, CD79B, CD79B, NEUROG3, NEUROG3, OSTM1, TP53"
4070,KIAA0319L,"CCDC40, CCDC40, CD4, CD4, EPO, FCN1, FCN1, FCN1, HRAS, KRAS, NRAS, NRAS, RAC2, RHOG, TFRC"
4071,CYTH2,"CCDC40, CCDC40, INAVA, INAVA, INAVA, INAVA, MYD88"
4072,CYTH1,"CCDC40, CCDC40, INAVA, INAVA, INAVA, INAVA, INAVA, ITGB2, ITGB2"
4073,PSMD9,"CCDC40, CHUK, CORO1A, KDM1A, PSMB4, RECQL4"
4074,GTF2H2C,"CCDC40, ERCC3, ERCC3, GTF2H5, KRAS, RIT1"
4075,PACRG,"CCDC40, RNF31, RNF31, TP53"
4076,IFT122,CCDC40
4077,IFT43,"CCDC40, ZMYND10, ZMYND10"
4078,79809,"CCDC40, KRAS"
4079,SLTM,"CCDC65, CDK9, EP300, FANCC, FANCD2, MBL2, PSENEN, TERF2"
4080,TSC22D4,"CCNK, CLU, SMAD3, SMAD3, ZBTB24, ZBTB24, ZMYND10, ZMYND10, ZMYND10"
4081,CCDC85B,"CCNK, GFI1B"
4082,NECAB2,"CCNK, DTNBP1, FANCG, KDM1A, TTR"
4083,KCNRG,CCNK
4084,RFX6,"CCNK, CDC42"
4085,RBPMS,"CCNK, CCNK, CYBA, FOXP3, FOXP3, GATA1, HCK, KRAS, MYH9, RPS27A, SMAD3"
4086,CEP76,"CCNK, KDM1A, MLH1, RPL9, RPL9, RPL9, THRA, ZBTB24"
4087,RHOXF2,"CCNK, POU2AF1, RNF31"
4088,KRTAP4-12,"CCNK, FCHO1, GNE, RPS28, TAP1"
4089,NDC80,"CCNK, CDK9, HAX1, KRT8, OFD1, RPS19, RUNX1, STX11, TNIP1"
4090,CCNK,"CCNK, CDK9, RUNX1, STX11"
4091,CHMP2A,"CCNK, KRAS, SH3KBP1, UNC45A"
4092,INTS5,"CCNK, CD3D, CD70, CD70, CD79B, CD79B, CLU, CTNNBL1, CXCR4, GFI1B, KRAS, VSIG4"
4093,LIAS,"CCNK, KRAS, RIT1"
4094,MRPL32,"CCNK, RPL18, RPL19, RPL26"
4095,NAA25,"CCNK, CXCR4, RIT1"
4096,SKIC2,"CCNK, CDK9, FERMT1, MAP3K14, RBM8A, RPL10, SKIC2, SRP72"
4097,SRSF7,"CCNK, CDK9, DKC1, EP300, KIF23, KRAS, MASTL, MSH2, NLRP7, PTEN, RC3H1, RECQL4, RELA, RIT1, RNF31, SH3KBP1"
4098,TBCB,"CCNK, CDK9, SAR1B"
4099,TLE5,"CCNK, CCNO, FANCG, GATA1, GATA2, GATA3, GFI1B, IRF4, KDM1A, MLH1, MLH1, RELA, RIT1, RUNX1, SMAD3"
4100,HOXA1,"CCNK, GATA1, GATA1, GP9, GP9, RBCK1, RBCK1, TGFB1"
4101,POU6F2,CCNK
4102,MYCL,CCNK
4103,CDK18,"CCNK, MASTL"
4104,DDIT4L,"CCNK, IL36RN, STK4"
4105,FAM168B,CCNK
4106,OXER1,CCNK
4107,HSFY2,CCNK
4108,HSFY1,"CCNK, JAK2"
4109,KRTAP13-2,"CCNK, FANCL, FCHO1, GATA3, GNE, POU2AF1"
4110,337879,"CCNK, FOXP3, GATA2, PSMA3, TNIP1"
4111,KRTAP19-6,"CCNK, FANCL"
4112,KRTAP6-2,"CCNK, CFP, FOXP3, GATA3, GNE, NAF1, NFKBID, TNIP1"
4113,CYSRT1,"CCNK, CFP, DNASE1L3, DOCK2, FASLG, GAS8, GATA2, GATA3, GNE, HCK, HRAS, ITGB2, PRF1, PROC, SH3KBP1, TGFB1, TNIP1, TYK2, ZMYND10"
4114,PRR20B,"CCNK, FOXP3"
4115,PRR20A,"CCNK, FOXP3, FOXP3, FOXP3, FOXP3, GATA2"
4116,PRR20D,"CCNK, FOXP3"
4117,PRR20C,"CCNK, FOXP3"
4118,PRR20E,"CCNK, FOXP3"
4119,KRTAP19-7,"CCNK, GNE, NAF1, POU2AF1, TNIP1"
4120,PRRC2B,"CCNO, GATA2, GATA3, IRF4, PSENEN, RC3H1"
4121,CDK5,"CCNO, CDC42, NRAS, PSEN1, RAC1, RAC2, RHOG, RHOH, TP53, TP53"
4122,CDKN1A,"CCNO, CEBPA, CHEK2, CHEK2, CREBBP, CREBBP, EP300, KDM1A, MAPK8, MAPK8, MCM10, NFKB1, PSMA3, PSMA3, PSMA3, STAT3, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53, TP53"
4123,CKS2,"CCNO, KMT2A, LACC1, LACC1, LACC1"
4124,MNAT1,"CCNO, ERCC2, ERCC2, ERCC2, ERCC3, ERCC3, ERCC3, ERCC3, ERCC3, ERCC3, ERCC3, ERCC3, GTF2H5, TERF2IP, TET2, TP53, TP53"
4125,SATB1,"CCNO, EP300, FOXN1, FOXP3, GATA2, GATA3, IRF4, TP53"
4126,CKS1B,"CCNO, GAS8, IKZF3, KMT2A, XIAP, XIAP"
4127,USP47,"CCNO, NCF2, NCF2, PTPN11, RPL11, STN1, STN1, STN1"
4128,NBR1,"CCNO, HAX1, KRT8, TNIP1, TP53"
4129,CDK3,"CCNO, ISG15, LCK, PAX5, STK4, STN1"
4130,SUFU,"CCNO, ITCH, ITCH, ITCH, STK36"
4131,FOXN3,CCNO
4132,IFITM1,"CD19, CD81, CR2"
4133,CR2,"CD19, CD19"
4134,CD82,"CD19, CD19, CD19, CD4, CD81, NFKB1, RBCK1, RNF31, TNIP1"
4135,CD22,"CD19, LYN"
4136,CD79B,"CD19, CD79A, CD79A, PTPRC"
4137,CD9,"CD19, CD46, CD81, CD81, CD81, HRAS, MAP2K1"
4138,MINDY3,"CD19, CD19, CD19, FGB, ISG15, RBCK1, TRADD"
4139,ANKRD16,"CD19, HRAS"
4140,TRAT1,"CD247, LCK, LCP2, LYN"
4141,DOCK2,"CD247, CD247, RAC1, RAC2"
4142,156110,"CD247, CD4, CD4, HCK, HCK, HCK, LCK, PSMB8, PSMB8, SRC"
4143,155945,"CD247, CD4, CD4, CD4"
4144,CD3E,"CD247, CD247, LCK, PTPN22, PTPN22, SYK, ZAP70"
4145,PCGF2,"CD247, RBCK1, UBE2T"
4146,RNF41,"CD247, FADD, IL23A, IL23A, IL23A"
4147,CZIB,CD247
4148,GOPC,"CD247, CFTR, CFTR, CXCR4, HCK, HRAS, IFNG, IFNG, MLPH, NRAS, ODAD3, RHOG, TFRC, TFRC, VTN"
4149,SIVA1,"CD27, CD27, CD27, CD4, CDKN2A, FOXP3, FOXP3, FOXP3, MEFV, MEFV, TP53, TYK2, TYK2, TYK2, XIAP, XIAP, XIAP, XIAP"
4150,TRAF3,"CD27, CD27, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, CD40, ETV6, ETV6, ETV6, FAS, IKBKG, IL17RA, IRF3, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MAP3K14, MYD88, RIPK2, STING1, SYK, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TICAM1, TICAM1, TLR3, TNFRSF11A, TNFRSF11A, TNFRSF11A, TNFRSF11A, TNFRSF13B, TNFRSF13C, TNFRSF13C, TNFRSF13C, TNFRSF13C, TNFRSF1A, TNFRSF9, TRADD, TRAF3, TRAF3, TRAF3, TRAF3, TRAF3, TRAF3, TRAF3, TRAF3IP2, TRAF3IP2, TRAF3IP2, TRAF5, TRAF5, TRAF5"
4151,C1GALT1,"CD27, CD27, CD27, CD79A, CRP"
4152,CTNNA2,"CD27, CD27"
4153,TTYH3,"CD27, CD27, CD27, CD70, CD70, FPR2, FPR2, LYN, TNFRSF1A, TNFRSF1A"
4154,ADCY9,"CD27, CD27, CD27, CDC42, HAX1, KRAS, KRAS, LYN, RAC1, RAC2, RHOG, RHOH, STIM1"
4155,SCAMP1,"CD27, CD27, CD27, CD70, CD70, CDC42, HAX1, HRAS, KRAS, KRAS, KRAS, LYN, NPC1, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, TFRC, TP53"
4156,SEMG2,"CD27, CD27, CD27, FANCD2, FOXP3, MRE11"
4157,SEMG1,"CD27, CD27, CD27, CLU, FANCD2, FOXP3, PSMB9, SLC39A7, TET2, TET2"
4158,TMEM67,"CD27, CD27, CD27, CD70, CD79A, GP9, HYOU1"
4159,SLC25A51,"CD27, CD27, CD27, CTLA4"
4160,TMEM214,"CD27, CDC42, KRAS, NPC1, NRAS, RAC2, RET, SPINT2, STIM1, ZBTB24"
4161,CRELD1,"CD27, CD27"
4162,PROCR,"CD27, IL31RA, PROC"
4163,CD70,"CD27, CD27, CD27, NPC1, TNFRSF13B, TNFRSF13B"
4164,CIB1,"CD27, ITGA2B, ITGA2B, ITGA2B, ITGB3, PRKDC, PRKDC, PSEN1, SLC39A4, UBR5"
4165,ATP13A1,"CD27, CD40, ISG15, RAC1, RIT1, TNFRSF9, VSIG4"
4166,ATP2B1,"CD27, CDC42, CFTR, ERBIN, FPR2, HRAS, HRAS, ISG15, KRAS, KRAS, KRAS, KRAS, LCK, LYN, MAD2L2, NRAS, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, TERF2, UNC93B1"
4167,SURF4,"CD27, CFTR, FPR2, KIF23, NCSTN, NRAS, STIM1, STING1, STING1, TP53, UBR5, UNC93B1, UNC93B1, UNC93B1"
4168,SLC7A1,"CD27, CD40, CD70, CD79A, CDC42, HRAS, KRAS, KRAS, KRAS, KRAS, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, TGFBR2, TP53"
4169,MAGT1,"CD27, CDC42, EP300, LRRC32, NCSTN, NPC1, RAC2, RHOG, SEC61A1, SLC39A4, TGFBR2, TP53"
4170,92745,"CD27, RAC1, RHOG"
4171,148867,"CD27, CD40, HRAS, KRAS, NPC1, NRAS, SPINT2, SPINT2, UNC93B1"
4172,ADGRE2,CD27
4173,SORT1,"CD27, CD70, IRF3, TAFAZZIN"
4174,CMTM6,"CD27, CD40, CD70, SPINT2, TP53, VSIG4"
4175,TBRG4,"CD27, CD70, CD70, CD79B, CD79B, CXCR4, IGHM, UNC93B1"
4176,FAM234A,"CD27, GP9, HRAS, ICOS, KRAS, KRAS, NRAS, RAC2"
4177,SLC38A1,"CD27, CD79A, CDC42, HRAS, KRAS, KRAS, KRAS, LYN, NRAS, NRAS, PTPN11, RAC1, RAC2, RHOG, RHOH, TFRC, TFRC, TP53"
4178,FAM20B,"CD27, CD79B, CD79B, NPC1"
4179,STT3B,"CD27, CDC42, EP300, FAS, FBF1, KRAS, KRAS, MAGT1, MAGT1, MAGT1, NPC1, NRAS, RAC1, RAC2, RHOG, RHOH, RPS15, RPS19, STIM1, STING1, TP53, TP53, UNC93B1"
4180,51304,CD27
4181,LEMD3,"CD27, CDC42, CTLA4, CXCR4, GP9, KRAS, KRAS, KRAS, LRRC32, MAD2L2, NRAS, RAC1, RAC2, RET, RHOG, RHOH, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SPINT2, SPINT2, SPINT2, STIM1"
4182,28982,"CD27, CDC42, HRAS, HRAS, IL2RG, IL2RG, IL2RG, KRAS, KRAS, KRAS, KRAS, LYN, NRAS, NRAS, NRAS, OSTM1, RAC1, RAC2, RHOG, RHOH, TP53"
4183,DAD1,"CD27, KRAS, LRRC32, PDCD1, RIT1, TP53"
4184,8744,"CD27, CD70, CLU, CLU, CTLA4, FCGR1A, FCGRT, FCGRT, ICOS, TIRAP, TNFRSF9, TNFRSF9, TNFRSF9, VSIG4"
4185,CD80,"CD28, CD28, CTLA4, CTLA4"
4186,DUSP14,"CD28, CD28, CD28, DTNBP1, IL31RA, IL31RA, LACC1, LACC1, LACC1, OTULIN, OTULIN, OTULIN, PI4KA, SAMHD1, TNFSF13"
4187,DOK1,"CD28, INSR, LYN, LYN, RET, SH2D1A, SH2D1A"
4188,PLXDC2,"CD28, RELA"
4189,HBA2,"CD28, FCGR1A, FCGR1A, FCGRT, FCGRT, NLRP7"
4190,LGALS1,"CD28, CDC42, HRAS, HRAS, HRAS, ICOSLG, ICOSLG, KIF23, MYH9, NLRP7, PTEN, RAC1, RAC2"
4191,TMEM192,"CD28, EXTL3, IL2RA, IL7R, LAMTOR2, NPC1, ODAD1, SLC39A4, SLC39A4, TNFRSF9"
4192,EFNB2,"CD28, CDC42, HRAS, KRAS, KRAS, KRAS, LCK, LYN, NRAS, RAC1, RHOH, TP53"
4193,CD8A,"CD3D, CD3D, CD8A, CD8A, PTPRC, TP53"
4194,DERL1,"CD3D, CFTR, CFTR, FCGRT, FPR2, RAC1, SRP54, TTR"
4195,AMFR,"CD3D, CFTR, CFTR, CFTR, FPR1, HSPA1L, ICOSLG, NPC1, UBE2T"
4196,WDR20,"CD3D, KRAS, KRAS, KRAS, LIG4, LYN, NRAS, TYK2"
4197,DSTYK,"CD3D, CD79B, CD79B, CXCR4, IGHM"
4198,55711,"CD3D, CTLA4, CXCR4, SLC39A4, SLC39A4, SLC39A4, VSIG4"
4199,57198,"CD3D, CD79B, CD79B, CXCR4, SLC39A4, SPINT2, SPINT2, SPINT2"
4200,NLRX1,"CD3D, CD79B, CD79B, IKBKB, IKBKG, IL2RA, OSTM1, TRAF3"
4201,9016,"CD3D, CD79B, CD79B, PDCD1, VSIG4, VSIG4"
4202,RHOBTB3,"CD3D, FAS, FAS, FAS, HAVCR2, HAVCR2, IL2RA, TNFRSF9"
4203,CNNM1,CD3D
4204,TAP2,"CD3D, CFTR, MASTL, PSMB8, TAP1, TAP1, TAP1, TAP1, TAPBP, TCIRG1, UNC93B1"
4205,DIPK1A,"CD3D, CD79B, CD79B, GP9, IL17RC, IL17RC"
4206,SREBF2,"CD3D, CD79B, CD79B, CREBBP, CREBBP, EP300, GP9, IGHM, IL17RA, IL17RC, IL17RC, SLC39A4, SLC39A4, SLC39A4, SMAD3, SPINT2, VSIG4"
4207,TMEM62,CD3D
4208,TMEM87B,"CD3D, TP63"
4209,FAM210B,"CD3D, HMOX1, TFRC"
4210,TMEM38B,"CD3D, COPA"
4211,SLC1A1,"CD3D, VSIG4"
4212,441250,"CD3D, TCIRG1"
4213,TRPM7,"CD3D, CDC42, HRAS, KRAS, KRAS, NRAS, RAC1, RAC2, RHOG, RHOH, RIT1, RPL27"
4214,64788,"CD3D, GP9, SPINT2, TAFAZZIN, TAFAZZIN"
4215,SLC25A20,"CD3D, KDM1A"
4216,INTS7,"CD3D, CD79B, CD79B, KRAS, ORAI1, PDCD1, PDCD1, RIT1, VSIG4, VSIG4, VSIG4"
4217,SLC47A1,"CD3D, IFNGR2, IL2RA, SLC39A4, SLC39A4, SLC39A4"
4218,GJC1,"CD3D, KRAS, NRAS, NRAS"
4219,64172,CD3D
4220,SLC29A1,"CD3D, CDC42, FPR2, FPR2, HRAS, HRAS, KRAS, KRAS, KRAS, LYN, NRAS, RAC1, RAC1, RAC2, RHOG, TP53"
4221,BCKDHB,"CD3D, TPP1"
4222,GALNT11,"CD3D, FCGR3A, PDCD1, PDCD1, VSIG4"
4223,HEATR6,"CD3D, CD79B, CD79B, HAX1, IGHM, MAP2K2, PDCD1, PTEN, RPS27, VSIG4"
4224,NSUN3,"CD3D, CD79A, CTLA4, MPL, OSTM1, VSIG4"
4225,ADCK2,"CD3D, HTRA2, IL17RC, IL17RC"
4226,440138,"CD3D, GP9, ICOSLG, IGHM, IL17RA, KRAS"
4227,EDEM1,CD3D
4228,23331,"CD3D, CD79A, CD79A, HRAS, ORAI1, TP53"
4229,148789,"CD3D, TAFAZZIN, TAFAZZIN"
4230,SZT2,"CD3D, REL"
4231,LPCAT4,"CD3D, HAVCR2, HAVCR2, IGHM, VSIG4"
4232,KCNJ8,CD3D
4233,EPHX4,CD3D
4234,ACAD10,"CD3D, CXCR4, F12, IGHM, IL12RB1, OSTM1, TAFAZZIN, TP53"
4235,84275,"CD3D, CD79A"
4236,57211,"CD3D, RAC1, RAC2, RHOG"
4237,124565,"CD3D, HAX1, TP53, VSIG4"
4238,POLR1G,"CD3E, CD3E, NBN, POLR3A, RC3H1, RIT1, RPL35A"
4239,CD3G,"CD3E, ZAP70"
4240,ITPRIPL1,"CD3E, CD3E, SPINT2, SPINT2, SPINT2, STK4"
4241,84514,"CD3E, CD3E, CD3E, IGHM, NPC1"
4242,LNPEP,"CD3E, CD3E, CD3E, CDC42, CST3, HRAS, HRAS, HYOU1, KRAS, KRAS, KRAS, LYN, NPC1, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, SIAE, SIAE, TFRC, TFRC"
4243,GP1BB,"CD3E, CD3E, GP1BA, NCF1, SLC39A4"
4244,TM2D3,"CD3E, CD3E"
4245,RDH11,"CD3E, CD79A, EP300, GBA1, ISG15, PSEN1, TAP1"
4246,6337,"CD3E, GP9, TAFAZZIN"
4247,TGFBR1,"CD3E, CDC42, CDC42, CLU, EP300, NPC1, PSEN1, PSEN1, RAC1, RET, RHOG, SH3KBP1, SMAD3, SMAD3, TGFBR2, TGFBR2, TGFBR2, TP63"
4248,23333,"CD3E, CD70, CD79B, CD79B, GP9, ISG15, TP53"
4249,CRYGS,"CD3E, POT1, TERF2IP, TINF2"
4250,GRAMD1A,"CD3E, CD79B, CD79B, COPA, COPG1, GP9, HAX1, NPC1, STIM1, UNC93B1"
4251,FZD6,"CD3E, CD79A, EP300, GP9, HRAS, RAC1, RAC2"
4252,COPG2,"CD3E, CFTR, COPA, COPA, COPG1, COPG1, COPG1, KIF23, PMS2, UNC93B1"
4253,HS2ST1,"CD3E, FPR2"
4254,ROR2,"CD3E, CDC42, HRAS, IKBKG, KRAS, KRAS, LCK, LYN, NRAS, POU2AF1, RAC1, RAC2, RET, RHOG, RHOH"
4255,ITFG1,"CD3E, CD70, GP9"
4256,LRFN1,"CD3E, CD70, NF1, VSIG4"
4257,25789,CD3E
4258,TMEM106C,"CD3E, GP9"
4259,TMEM9,"CD3E, KRAS, MAD2L2, NRAS, RAC1, RAC2, RHOG"
4260,DNAJC16,"CD3E, FAS, IL12RB1, KRAS, NPC1, RECQL4, SPINT2, SPINT2"
4261,MAL,"CD3G, CD40, IL10RA"
4262,100130348,"CD3G, CD79A"
4263,TMEM203,CD3G
4264,HKDC1,"CD3G, KIF23, KRAS, NOS2, RPS27"
4265,TMEM186,"CD3G, CXCR4, SLC39A4, SLC39A4, SLC39A4"
4266,UNC119,"CD4, CDC42, KDM1A, LCK, LIG4, LYN, RAP1B"
4267,SPG21,"CD4, CD4, IKZF3, KRAS, NPC1, NRAS"
4268,PIP,"CD4, FANCD2, SLX4, TCF3"
4269,CCR5,"CD4, CXCR4"
4270,CXCR4,"CD4, CD79B, CDC42, GRK3, IFNGR2, ITCH, OSTM1, RAC1, RAC2, RHOG, RNF113A, UNC93B1"
4271,IL16,"CD4, PSTPIP1, RBCK1, SPRED1"
4272,EPS15,"CD4, FCHO1, FCHO1, FCHO1, MYH9, PPP1CB, TGFB1"
4273,155971,"CD4, CD4, CD4, CD4, CD59, CXCR4"
4274,EIF3C,"CD4, CD81, COPA, EP300, KRAS, KRAS, MECOM, RBM8A, RECQL4, RIT1, RPL10, RPL5, RSPH9, RSPH9, SRP72, TNIP1, TP53, TRADD"
4275,MME,"CD4, KIF23, PTEN, PTEN"
4276,ANXA6,"CD4, CR2, DOCK8, MLH1, MSH2, SHOC2"
4277,FARSB,"CD4, CTNNBL1, FGB, GTF2E2, GTF2E2, MAD2L2, MAD2L2, PTEN, RAC1, RAC2, RECQL4, SAR1B"
4278,EIF3D,"CD4, CDC42, CREBBP, EP300, HAX1, KRAS, KRAS, MECOM, RBM8A, RECQL4, REL, RPL5, SRP72"
4279,CD4,"CD4, CXCR4, PTPRC, UNC119"
4280,ANXA2,"CD4, CDC42, CDK9, CDK9, DOCK8, DSG1, EP300, FANCD2, FLG, ISG15, KIF23, MLH1, MLH1, MYH9, NCKAP1L, NLRP7, NOD2, PLA2G4A, POT1, PPP1CB, PTEN, PTPN11, RAC1, RECQL4, SOS1, STAT3, STAT6, TET2, TP53, TP53"
4281,DHRS2,"CD4, NAF1, SI"
4282,RPL22,"CD4, CD81, CDC42, CDC42, FANCD2, HCK, KIF23, KRAS, MYH9, PTEN, RBM8A, RC3H1, RC3H1, RECQL4, RPL10, RPL11, RPL11, RPL15, RPL18, RPL19, RPL19, RPL19, RPL5, RPS19, SRP72, ZBTB24"
4283,UBL7,"CD4, CDKN2A, DIAPH1, PTEN"
4284,POGZ,"CD4, CD4, ELF4, FANCD2, KDM1A, MAD2L2, MAD2L2, MAD2L2, MAD2L2, MAD2L2, POU2AF1, TCIRG1, TERF2IP, ZBTB24, ZBTB24"
4285,VAMP3,"CD4, CD4, CDC42, HRAS, HRAS, IKBKG, KRAS, KRAS, KRAS, LAMTOR2, LYN, MLH1, NRAS, NRAS, NRAS, RAC1, RAC2, RHOG, RHOH, RPL35A, STX11, STX11, STX3, STX3, STX3, STX3, STX3, TFRC, TINF2"
4286,EIF2B3,"CD4, CD70, CD70, CDC42, KRAS, KRAS, RIT1, UNC93B1"
4287,16818,CD4
4288,LRPAP1,"CD4, RANBP2, RPSA"
4289,PCDH1,"CD4, CD48, CD70, FCGR1A, FCGRT, HRAS, ICOS, NRAS, SMAD3, VSIG4"
4290,SGK1,"CD40, FANCA, IKBKG, RAF1"
4291,ERP44,"CD40, CNBP, COPA, FAS, G6PD, IL12B, NPC1, RECQL4, SAR1B, TGFB1, TGFB1"
4292,OBI1,"CD40, RC3H1, RC3H1, RNF31"
4293,RIPK2,"CD40, CHUK, IRF4, IRF4, NOD2, NOD2, NOD2, NOD2, NOD2, NOD2, NOD2, NOD2, NOD2, NOD2, RIPK2, RIPK2, RIPK2, RIPK2, TRAF3, TRAF3, TRAF3, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP"
4294,TDP2,"CD40, CD40, PSEN1, SMAD3, TAP1, TP53, TRAF3, TRAF5"
4295,MS4A1,CD40
4296,MAP3K8,"CD40, CHUK, LCK, MAP3K14, NFKB1, NFKB1, NFKB1, NFKB1, NFKB1, NFKB2, REL, RELA, RELA, RELA, RIPK1"
4297,22031,CD40
4298,229603,CD40
4299,22030,CD40
4300,11796,CD40
4301,DIABLO,"CD40, CD40, HTRA2, HTRA2, MALT1, PRKCD, UBA1, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP, XIAP"
4302,CD40,"CD40, CD40, CD40LG, PIK3R1, STING1, TRAF3, TRAF3, TRAF3, TRAF3, TRAF3IP2, TRAF3IP2, TRAF3IP2, TRAF5"
4303,STING1,"CD40, COPA, IRF3, IRF3, MAP3K14, MYSM1, MYSM1, MYSM1, STING1, STING1, STING1, STING1, STING1, TBK1, TBK1, TBK1, TBK1, TRAF3"
4304,TANK,"CD40, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, IKBKG, MAP3K14, SMAD3, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TICAM1, TNFRSF1A, TRAF3, TRAF3"
4305,TMEM147,"CD40, CD79A"
4306,SLC30A3,"CD40, RC3H1"
4307,INSIG2,"CD40, CD79A"
4308,TMEM128,"CD40, CD79A, CXCR4, TP63"
4309,MIP,CD40
4310,SLC30A2,"CD40, CD79A, SERPING1"
4311,TLCD1,CD40
4312,CYB561A3,"CD40, CD79A"
4313,91252,"CD40, REL"
4314,TMEM107,"CD40, CD79A"
4315,MFSD5,"CD40, CD79A, FPR2, FPR2, TNFRSF1A, TNFRSF1A"
4316,DEFB121,CD40
4317,COG2,"CD40, COG6, FPR1, MAPK8, RNASEH2A, UNC93B1"
4318,GEMIN8,"CD40, HAX1, ITCH, KRAS"
4319,COG8,"CD40, COG6, COG6, COG6, IFNGR2"
4320,SLC39A11,CD40
4321,LTN1,"CD40, CD79B, CD79B, CFTR, FCGR3A, IGHM, IL2RA, IRF7, IRF7, KRAS, KRT8, STING1, STING1, TIRAP, TIRAP, UNC93B1"
4322,COG5,"CD40, DTNBP1, DTNBP1, DTNBP1, ODAD1, RAC1, TRAF5, UNC93B1"
4323,TTI2,"CD40, FPR1, KRAS, KRAS, RIT1, TNFSF12, UNC93B1"
4324,PEX19,"CD40, FAS, HAX1, IL23A, IRF3, POLE2, PSMB4, UNC93B1"
4325,TNPO2,"CD40, CD70, FCGRT, FCGRT, HMOX1, IKBKG, KIF23, TNFRSF13C, UNC93B1"
4326,GEMIN6,"CD40, HAX1, JAK3, KRAS, KRAS, UNC93B1"
4327,SLC9A3R2,"CD40, CFTR, CFTR, CFTR, CFTR, G6PC3, GTF2E2, KRAS, KRAS, PTEN, RPS28, SLC26A3, SLC9A3, SMAD3"
4328,COG1,"CD40, COG6, COG6, COG6, FPR1, IFNGR2, LCK, ODAD1, UNC93B1"
4329,HOOK3,"CD40, TP53"
4330,GEMIN4,"CD40, CD70, CFP, COPG1, CTNNBL1, FPR1, HAX1, KIF23, KRAS, MAD2L2, MAD2L2, PTEN, SRP54, TAP1, UNC93B1"
4331,MON2,"CD40, SPINT2, UNC93B1, VSIG4"
4332,NUP85,"CD40, CD70, CD70, CDC42, KRAS, PSMB10, RECQL4, RIT1, RUNX1, TRADD"
4333,XPO5,"CD40, CD70, EP300, EP300, FPR1, KRAS, RAC1, RIT1, TFRC, TFRC, TNFRSF13B, TNFRSF9, UNC93B1"
4334,ARFGEF3,"CD40, CDC42, FPR1, RHOG"
4335,EXOC5,"CD40, CD70, COG6, COG6, CREBBP, DNAAF4, DTNBP1, DTNBP1, DTNBP1, LCK, OAS1, OAS1, PSTPIP1, PTEN, STIM1, STX11, STX11, UNC93B1"
4336,GPR180,"CD40, FPR2"
4337,INTS2,"CD40, CD70, CD70, CDC42, DEF6, FAS, FAS, FPR1"
4338,23218,"CD40, HRAS"
4339,ORC4,"CD40, CD93, CDKN2A, ICOSLG, KRAS, MCM4, MLH1, RECQL4, TNFRSF6B"
4340,EIF2B2,"CD40, CD70, KRAS, RC3H1, RECQL4, RIT1, RPL10, TET2"
4341,EIF2B5,"CD40, CD70, KRAS, RIT1, STX11, STX11, UNC93B1"
4342,MLST8,"CD40, EP300, FPR1, STAT1"
4343,IPO8,"CD40, CFTR, FPR1, KRT8, MAD2L2, MAD2L2, RAC1, RECQL4, TIMM50, UNC93B1"
4344,NUP98,"CD40, CD70, CD70, CDK9, CREBBP, CREBBP, ETV6, GTF2H5, KRAS, KRAS, MAPK8, NUP214, RIT1, STIM1, TGFB1"
4345,ATXN10,"CD40, CD70, CFTR, GATA3, KRAS, TGFBR2, VTN"
4346,EIF2B1,"CD40, MYH9, RECQL4, RIT1, RPL10, UNC93B1"
4347,HEATR1,"CD40, CD70, CDC42, FANCD2, IL2RA, KIF23, KRAS, PSMB8, RPS24, RPS27, TNFRSF9, UNC93B1, VSIG4"
4348,HPR,CD40LG
